"Empresa","p","q","AR","N","Mu","Delta_Volumen","P_Volumen_Robusto","Omega","Persistencia","Shape_t","LogLik","AIC","BIC","P_LB_Residuos","P_LB_Cuadrados","Convergencia","Error","Adecuado"
"promigas",1,2,0,490,-0.000508770112406077,-0.000218823782620497,0.718494362110305,0.000896709934240726,0.998999995119823,2.13899241663515,1310.52250064798,-5.32050000264482,-5.26057992562904,0.02080060811213,2.96826561168029e-05,0,NA,FALSE
"promigas",2,1,0,490,-0.000585188725302298,-0.000258770713381453,0.687196352055918,1.22830718944641e-06,0.998371626133743,2.51231021258336,1301.7881337574,-5.28484952554041,-5.22492944852463,0.0247068958466473,0.000950002130653549,0,NA,FALSE
"promigas",2,2,0,490,-0.000576922973341154,-0.000254271847653957,0.692340662097792,1.12176234952567e-06,0.998646402960541,2.51307683332427,1301.78692675854,-5.28076296636138,-5.21228287834335,0.0247009333456576,0.000959018175932025,0,NA,FALSE
"promigas",1,1,1,490,-0.000490171689595192,-0.000131339538452019,0.825719139714205,0.000853984893099098,0.99899934150601,2.1223813921389,1312.08567305586,-5.32688029818717,-5.26696022117138,0.0249928189858117,9.30260884196565e-05,0,NA,FALSE
"promigas",1,2,1,490,-0.000507657828894639,-0.000159783804263175,0.793214844717515,0.000888436323524115,0.998999949508911,2.14100828912687,1311.61860125923,-5.32089225003767,-5.25241216201963,0.0215864474435655,5.04280112582078e-05,0,NA,FALSE
"promigas",2,1,1,490,-0.0005874414307321,-0.000203910928456477,0.76545080068733,1.7029851862627e-06,0.997285512787474,2.5241188548565,1302.98960394731,-5.28567185284617,-5.21719176482814,0.0552989602043051,0.00179899187563748,0,NA,FALSE
"promigas",2,2,1,490,-0.000587952323787326,-0.0001934651197607,0.767704792625551,1.64347281348375e-06,0.997559118423784,2.52397524769564,1302.9836705995,-5.28156600244694,-5.20452590342665,0.055258674219842,0.00180450654248854,0,NA,FALSE
"suramericana",1,1,0,490,-0.000102240688615104,0.00129147138264759,0.102745789998635,0.000265005474124787,0.999000007041331,2.59312094833642,1140.48275572487,-4.63054186010152,-4.57918179408799,0.980211781102613,0.999958550025019,0,NA,TRUE
"suramericana",1,2,0,490,-0.000101917171783457,0.00129230503640316,0.100892424436223,0.000264859489073514,0.998999895205588,2.59403721760473,1140.47599748749,-4.62643264280608,-4.5665125657903,0.980185664029535,0.999958573883145,0,NA,TRUE
"suramericana",2,1,0,490,0.000259460612090027,0.0015016378353379,0.0658407630848279,1.68638795142895e-05,0.998999994407656,2.29344981786242,1123.87802855209,-4.55868583082487,-4.49876575380909,0.460934832782535,0.999995701742803,0,NA,TRUE
"suramericana",2,2,0,490,0.00025945769349333,0.00150162960199557,0.070384569849532,1.68602255339546e-05,0.998999991446629,2.29346312640146,1123.8780239235,-4.55460417927959,-4.48612409126156,0.460929076919091,0.999995702597753,0,NA,TRUE
